id,pref_code,pref,occurred_at,species,species_label,category,category_raw,count,municipality,place,lat,lon,note,source_id,source_page,license,attribution
akita-kumadas:24141,05,秋田県,2026-04-29T09:23:00,shika,ニホンジカ,sighting,目撃,1,大館市,〒018-5601 秋田県大館市十二所平内新田周辺,40.2146135,140.6550107,【投稿】道路南側から北部エリア駐車場の方逃げて行った,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24113,05,秋田県,2026-04-29T09:24:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒011-0951 秋田県秋田市土崎港相染町大浜１２,39.7662515,140.0412112,秋田海陸(株)の敷地内に入って行くクマ１頭を目撃。大きさ1m以上。敷地内をうろついている。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24130,05,秋田県,2026-04-29T09:40:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,秋田県秋田市雄和平尾鳥金井田,39.60640142,140.2368165,【投稿】協和方面から秋田空港に向う途中に車の前を横切っていったが、林の中へ入っていった。近くには山菜採りの車が停車していた。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24117,05,秋田県,2026-04-29T09:46:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-0145 秋田県秋田市下新城笠岡堰場２０２－５,39.80022375,140.080112,農作業中、田んぼ内に居るクマを目撃１頭1m、最寄りの民家まで約80m。クマはその後北側へ立ち去った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24116,05,秋田県,2026-04-29T10:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,由利本荘市,秋田県由利本荘市久保田高畑周辺,39.30452752,140.105825,【投稿】右岸側で釣りをしていた時に、自身の上流約10mに川から上陸するクマを目視した。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24115,05,秋田県,2026-04-29T10:29:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,秋田県秋田市土崎港相染町大浜,39.77092271,140.0402462,【投稿】秋田北防波堤で釣りの最中、隣の東北電力パイプラインに出没,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24114,05,秋田県,2026-04-29T10:39:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒014-0073 秋田県大仙市内小友堂ノ前９６,39.4368985,140.3904118,国道105号を大曲方向に走行中国道を左から右側に横断する体長1.5m程度のクマを目撃。南東の山側ち立ち去った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24131,05,秋田県,2026-04-29T12:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大館市,〒018-3501 秋田県大館市岩瀬芋岱地内,40.29152385,140.4661918,車両走行中、クマ1頭（体長約1.0m）を目撃／進行方向北東／直近民家まで約50m,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24122,05,秋田県,2026-04-29T13:59:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大館市,〒017-0021 秋田県大館市雪沢大滝,40.29117604,140.6325272,【投稿】体長約1m。道路から至近の山を歩いていた,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24161,05,秋田県,2026-04-29T15:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒014-0003 秋田県大仙市美原町,39.46979521,140.4650923,子グマ1頭を目撃。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24118,05,秋田県,2026-04-29T15:15:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,能代市,〒016-0017 秋田県能代市磐銭ケ台２３,40.2575419,140.049872,,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24121,05,秋田県,2026-04-29T16:10:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒014-0073 秋田県大仙市内小友中山１２６,39.44326356,140.3915405,【投稿】高速道路に乗っていたら目撃した,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
